,detector_1,detector_2,dist
1197,1394,1945,9148
1198,1394,1946,9148
1199,1394,1947,9148
1200,1394,1385,11280
1201,1394,1386,11280
1202,1394,1387,11280
1203,1394,1377,18779
1204,1394,1378,18779
1205,1394,1379,18779
1206,1395,1953,4671
1207,1395,1954,4671
1208,1395,1955,4671
1209,1395,1945,9148
1210,1395,1946,9148
1211,1395,1947,9148
1212,1395,1385,11280
1213,1395,1386,11280
1214,1395,1387,11280
1215,1395,1377,18779
1216,1395,1378,18779
1217,1395,1379,18779
1218,1953,1945,4662
1219,1953,1946,4662
1220,1953,1947,4662
1221,1953,1385,6794
1222,1953,1386,6794
1223,1953,1387,6794
1224,1953,1377,14292
1225,1953,1378,14292
1226,1953,1379,14292
1227,1954,1945,4662
1228,1954,1946,4662
1229,1954,1947,4662
1230,1954,1385,6794
1231,1954,1386,6794
1232,1954,1387,6794
1233,1954,1377,14292
1234,1954,1378,14292
1235,1954,1379,14292
1236,1955,1945,4662
1237,1955,1946,4662
1238,1955,1947,4662
1239,1955,1385,6794
1240,1955,1386,6794
1241,1955,1387,6794
1242,1955,1377,14292
1243,1955,1378,14292
1244,1955,1379,14292
1245,1945,1385,3761
